"identifier"	"Dry Forest"	"Moist Forest"	"Shrublands"
"Avahi laniger"	0	10	0
"Avahi occidentalis"	6	0	0
"Cheirogaleus major"	0	12	0
"Cheirogaleus medius"	6	0	0
"Daubentonia madagascariensis"	0	3	0
"Eulemur albifrons"	0	7	0
"Eulemur collaris"	0	1	0
"Eulemur coronatus"	4	0	0
"Eulemur fulvus"	9	12	0
"Eulemur mongoz"	4	0	0
"Eulemur rubriventer"	0	13	0
"Eulemur rufifrons"	0	0	3
"Eulemur rufus"	0	14	0
"Eulemur sanfordi"	1	0	0
"Hapalemur aureus"	0	5	0
"Hapalemur griseus"	0	24	0
"Hapalemur simus"	0	6	0
"Indri indri"	0	46	0
"Lemur catta"	0	7	16
"Lepilemur edwardsi"	8	0	0
"Lepilemur microdon"	0	5	0
"Lepilemur mustelinus"	4	4	2
"Lepilemur septentrionalis"	3	0	0
"Microcebus griseorufus"	0	0	1
"Microcebus lehilahytsara"	0	1	0
"Microcebus murinus"	8	5	1
"Microcebus ravelobensis"	1	0	0
"Microcebus rufus"	0	12	0
"Phaner furcifer"	3	0	1
"Propithecus candidus"	0	2	0
"Propithecus coquereli"	12	0	0
"Propithecus coronatus"	1	0	0
"Propithecus deckenii"	1	0	1
"Propithecus diadema"	0	61	0
"Propithecus edwardsi"	0	8	0
"Propithecus tattersalli"	0	0	0
"Propithecus verreauxi"	1	3	8
"Varecia rubra"	0	3	0
"Varecia variegata"	0	30	0
